defect_type,defect_category,severity_level,description,typical_causes,prevention_methods,detection_methods,remediation_actions
POROSITY,METALLURGICAL,LOW,Small voids or gas bubbles in the material,Insufficient laser power or high scan speed,Optimize laser parameters and scan strategy,CT scanning and metallographic analysis,Post-process heat treatment
POROSITY,METALLURGICAL,MEDIUM,Medium-sized voids affecting material integrity,Improper atmosphere or powder contamination,Maintain clean atmosphere and powder quality,CT scanning and density measurement,Hot isostatic pressing
POROSITY,METALLURGICAL,HIGH,Large voids compromising structural integrity,Critical process parameter deviations,Strict process control and monitoring,CT scanning and mechanical testing,Component rejection or remanufacturing
CRACK,STRUCTURAL,LOW,Small surface cracks not affecting functionality,Thermal stress during cooling,Optimize cooling rate and support structures,Visual inspection and dye penetrant testing,Surface treatment or minor repair
CRACK,STRUCTURAL,MEDIUM,Cracks extending into the material,Excessive thermal gradients or residual stress,Improve support design and process parameters,CT scanning and ultrasonic testing,Structural repair or component replacement
CRACK,STRUCTURAL,HIGH,Critical cracks affecting structural integrity,Severe process deviations or material issues,Comprehensive process validation,CT scanning and destructive testing,Component rejection
INCLUSION,METALLURGICAL,LOW,Small foreign particles in the material,Powder contamination or handling issues,Maintain clean powder handling procedures,Metallographic analysis and microscopy,Powder cleaning and process optimization
INCLUSION,METALLURGICAL,MEDIUM,Medium-sized inclusions affecting properties,Poor powder quality or contamination,Implement strict powder quality control,CT scanning and material analysis,Powder replacement and process adjustment
INCLUSION,METALLURGICAL,HIGH,Large inclusions compromising material integrity,Severe powder contamination,Establish comprehensive quality control,CT scanning and material testing,Component rejection and powder replacement
DELAMINATION,STRUCTURAL,LOW,Minor layer separation at interfaces,Insufficient layer bonding,Optimize layer parameters and scan strategy,CT scanning and layer analysis,Process parameter adjustment
DELAMINATION,STRUCTURAL,MEDIUM,Significant layer separation,Poor interlayer bonding or contamination,Improve layer bonding and cleanliness,CT scanning and mechanical testing,Structural repair or remanufacturing
DELAMINATION,STRUCTURAL,HIGH,Critical layer separation affecting integrity,Severe bonding issues or process failures,Comprehensive process validation,CT scanning and destructive testing,Component rejection
WARPAGE,GEOMETRIC,LOW,Minor dimensional distortion,Residual stress and thermal gradients,Optimize support structures and cooling,Coordinate measurement and inspection,Post-process straightening
WARPAGE,GEOMETRIC,MEDIUM,Significant dimensional deviation,Excessive thermal stress or poor support,Improve support design and process control,Coordinate measurement and analysis,Mechanical correction or remanufacturing
WARPAGE,GEOMETRIC,HIGH,Critical dimensional distortion,Severe process deviations,Comprehensive process optimization,Coordinate measurement and testing,Component rejection
SHRINKAGE,GEOMETRIC,LOW,Minor dimensional reduction,Natural material shrinkage during cooling,Account for shrinkage in design,Coordinate measurement and analysis,Design compensation or post-processing
SHRINKAGE,GEOMETRIC,MEDIUM,Significant dimensional reduction,Excessive shrinkage or poor process control,Optimize process parameters and design,Coordinate measurement and testing,Process adjustment or remanufacturing
SHRINKAGE,GEOMETRIC,HIGH,Critical dimensional reduction,Severe process deviations,Comprehensive process validation,Coordinate measurement and analysis,Component rejection
UNMELTED_POWDER,METALLURGICAL,LOW,Small areas of unmelted powder,Insufficient laser energy or poor powder distribution,Optimize laser parameters and powder spreading,Visual inspection and density measurement,Post-process heat treatment
UNMELTED_POWDER,METALLURGICAL,MEDIUM,Moderate areas of unmelted powder,Poor process parameters or powder quality,Improve process control and powder quality,CT scanning and material analysis,Process optimization or remanufacturing
UNMELTED_POWDER,METALLURGICAL,HIGH,Extensive unmelted powder areas,Critical process failures or powder issues,Comprehensive process validation,CT scanning and material testing,Component rejection
SURFACE_IRREGULARITY,SURFACE,LOW,Minor surface roughness or texture,Suboptimal process parameters,Optimize surface finish parameters,Surface profilometry and visual inspection,Surface finishing or polishing
SURFACE_IRREGULARITY,SURFACE,MEDIUM,Moderate surface defects,Process parameter deviations,Improve process control and parameters,Surface analysis and measurement,Surface treatment or machining
SURFACE_IRREGULARITY,SURFACE,HIGH,Severe surface defects,Significant process deviations,Comprehensive process optimization,Surface analysis and testing,Surface repair or remanufacturing
INSUFFICIENT_POWDER,POWDER_BED,LOW,Minor powder shortage in localized areas,Powder spreading issues or hopper problems,Optimize powder spreading and hopper design,Powder bed imaging and analysis,Powder replenishment and process adjustment
INSUFFICIENT_POWDER,POWDER_BED,MEDIUM,Moderate powder shortage affecting build,Hopper malfunction or spreading problems,Improve powder delivery and spreading systems,Powder bed monitoring and analysis,Process adjustment or build interruption
INSUFFICIENT_POWDER,POWDER_BED,HIGH,Critical powder shortage stopping build,Severe equipment malfunction,Comprehensive equipment maintenance,Powder bed monitoring and inspection,Build termination and equipment repair
EXCESS_POWDER,POWDER_BED,LOW,Minor powder accumulation,Spreading system calibration issues,Calibrate powder spreading system,Powder bed imaging and analysis,Spreading system adjustment
EXCESS_POWDER,POWDER_BED,MEDIUM,Moderate powder accumulation,Spreading system malfunction,Maintain and calibrate spreading system,Powder bed monitoring and analysis,Spreading system repair and calibration
EXCESS_POWDER,POWDER_BED,HIGH,Excessive powder accumulation,Severe spreading system failure,Comprehensive system maintenance,Powder bed monitoring and inspection,System repair and process restart
CONTAMINATION,POWDER_BED,LOW,Minor powder contamination,Handling or storage issues,Implement clean handling procedures,Powder analysis and contamination testing,Powder cleaning and process adjustment
CONTAMINATION,POWDER_BED,MEDIUM,Moderate powder contamination,Poor handling or storage conditions,Improve powder handling and storage,Powder quality analysis and testing,Powder replacement and process optimization
CONTAMINATION,POWDER_BED,HIGH,Severe powder contamination,Critical handling or storage failures,Establish comprehensive quality control,Powder quality testing and analysis,Complete powder replacement and process restart
AGGLOMERATION,POWDER_BED,LOW,Minor powder clumping,Moisture or handling issues,Control moisture and improve handling,Powder analysis and flowability testing,Powder conditioning and process adjustment
AGGLOMERATION,POWDER_BED,MEDIUM,Moderate powder clumping,Poor powder condition or handling,Improve powder conditioning and handling,Powder quality analysis and testing,Powder replacement and process optimization
AGGLOMERATION,POWDER_BED,HIGH,Severe powder clumping,Critical powder condition issues,Comprehensive powder quality control,Powder quality testing and analysis,Complete powder replacement and process restart
SEGREGATION,POWDER_BED,LOW,Minor powder size segregation,Handling or vibration issues,Minimize vibration and improve handling,Powder analysis and size distribution testing,Powder mixing and process adjustment
SEGREGATION,POWDER_BED,MEDIUM,Moderate powder size segregation,Poor handling or equipment vibration,Improve handling and equipment stability,Powder quality analysis and testing,Powder remixing and process optimization
SEGREGATION,POWDER_BED,HIGH,Severe powder size segregation,Critical handling or equipment issues,Comprehensive equipment and handling control,Powder quality testing and analysis,Complete powder remixing and process restart
